person_id_random,device_model,hasDualSim,hasWlan,hasBluetooth,mkopo_version_name,android_version
8548843141,samsung-GT-S6802,0,1,0,3.1,2.3.6
5334896838,unknown-TECNO P3,1,0,0,2.1,2.3.5
4656062708,samsung-GT-S5830i,0,1,0,2.1,2.3.6
2283557917,samsung-GT-I9500,0,1,1,2.1,4.3
8449258035,samsung-GT-I9152,0,1,1,3.4,4.2.2
4017268696,itel-itel it1403+,0,1,1,3.5,4.4.2
5585643436,HUAWEI-HUAWEI P6-U06,0,1,1,2.0,4.2.2
4239791639,unknown-TECNO P3S,0,0,0,2.1,2.3.5
3342477379,samsung-GT-S7580,0,1,1,3.1,4.2.2
5346231779,TECNO-TECNO H6,0,0,1,3.0,4.4.2
3884829185,alps-TECNO Q1,1,1,0,2.1,4.0.4
7357826278,samsung-GT-S7560,0,1,1,2.1,4.0.4
3670141772,samsung-GT-N7100,0,1,1,3.0,4.3
1817487983,samsung-GT-S7562,1,1,1,2.2,4.0.4
8521033508,unknown-TECNO P3,1,1,0,2.1,2.3.5
5799676461,samsung-GT-S5570I,0,0,0,2.1,2.3.6
2528750026,TECNO-TECNO_N7,1,1,1,2.2,4.0.4
5330295937,unknown-TECNO P3,0,1,0,3.3,2.3.5
7777374938,alps-TECNO M3,1,0,1,2.1,4.2.2
4552401360,samsung-GT-S5830i,0,0,0,2.1,2.3.6
7177006216,HUAWEI-HUAWEI Y511-U10,0,1,1,3.5,4.2.2
1978413484,samsung-GT-I9500,0,1,1,2.1,4.3
7734209346,samsung-GT-N7100,0,1,1,3.0,4.1.2
3995102460,samsung-GT-S5570I,0,1,0,2.2,2.3.6
6386473095,samsung-GT-I9100,0,1,0,3.3,4.0.4
1183321030,samsung-GT-S5301,0,1,1,2.1,4.0.4
5377931105,HUAWEI-U8860,0,1,1,2.2,2.3.6
2358807840,alps-TECNO P5,1,1,1,3.3,4.2.2
5868139297,samsung-GT-S5300,0,1,1,2.1,2.3.6
6100057929,unknown-TECNO P3,1,1,0,2.1,2.3.5
2683538279,TCT-ALCATEL ONE TOUCH 5020D,1,1,1,3.3,4.1.1
9236601044,,,0,0,,
7444746096,unknown-TECNO P3S,0,1,0,2.1,2.3.5
4105742558,samsung-GT-S5300,0,1,0,2.1,2.3.6
7640935498,unknown-TECNO N3S,0,1,0,2.2,2.3.5
7125219495,Mi-A401-Mi-A401,1,1,0,2.1,4.0.4
3206224066,sprd-iNote mini,0,0,0,2.0,2.3.5
8677322348,samsung-GT-S5300,0,1,0,2.1,2.3.6
