person_id_random,birthday,gender,signup_date,fb_friend_count,current_home_years,current_home_months,living_situation,current_job_years,current_job_months,education,how_much_paid,how_often_paid,referral_source,outstanding_loan,mpesa_how_often,relationship_status,is_employed
8548843141,1988/7/11,M,2014-03-20 10:37:34,,,,,,,,,,google_play_store,,10+,,
5334896838,1980/3/10,M,2014-03-22 21:07:34,557,,,,,,,,,,,4-9,,
4656062708,1973/9/22,M,2014-04-03 03:07:04,308,,,,,,,,,facebook,no,10+,,
2283557917,1985/11/22,F,2014-05-02 00:57:56,115,5+,10,pay_rent,,,,50000,monthly,facebook,no,daily,,
8449258035,1988/9/12,F,2014-05-02 11:23:33,473,3,0,pay_rent,,,,,weekly,family,no,daily,,
2287514871,,M,2014-05-03 04:13:59,1168,2,0,pay_rent,,,,30000,monthly,,no,daily,,
4017268696,1983/7/16,M,2014-05-03 04:49:09,925,1,2,Live with my parent,,,,15000,monthly,friend,no,few_times_a_week,,
5585643436,1988/6/21,F,2014-05-04 07:15:53,465,1,,pay_rent,2,7,,40000,monthly,,yes,few_times_a_week,,
4239791639,1924/3/2,F,2014-05-06 22:46:44,65,4,0,pay_rent,3,,,8000,monthly,,no,few_times_a_week,,
3585535472,1974/11/22,M,2014-05-07 02:25:02,839,2,4,pay_rent,,7,,1500,daily,,no,few_times_a_week,,
3342477379,1979/3/21,F,2014-05-07 06:34:44,636,4,0,pay_rent,5+,,,30000,monthly,friend,no,few_times_a_week,,
5346231779,1985/7/10,F,2014-05-07 11:09:02,412,2,0,pay_rent,4,,,6000,weekly,,no,daily,,
1341618714,,F,2014-05-07 23:11:31,3283,0,2,pay_rent,1,,,15000,monthly,,no,few_times_a_week,,
6891187473,1983/12/29,M,2014-05-13 01:50:16,122,0,,pay_rent,4,,,,weekly,,no,few_times_a_week,,
9545294644,1983/3/3,M,2014-05-13 05:53:05,147,0,9,pay_rent,2,,,9500,monthly,,yes,daily,,
3884829185,1983/8/11,F,2014-05-14 23:05:06,278,5+,5,live at our parents home,2,0,,40000,monthly,,no,few_times_a_week,,
3422259391,1989/9/19,M,2014-05-15 05:07:05,392,5+,5,pay_rent,3,0,,2500,"Freelance IT Personnel,earns money making deliveries such printing papers, repairing computers, web designer etc",,no,few_times_a_week,,
7357826278,1919/7/17,M,2014-05-15 05:26:30,380,4,2,pay_rent,5+,,,60000,monthly,,no,daily,,
