person_id_random,nLoans,loanStartDates,loanPaidDates,currentDate
7346661357,1,2015-03-03,,2015-08-19
9468184407,1,2015-07-21,2015-08-15,2015-08-19
2990883566,1,2014-12-29,,2015-08-19
2320175519,6,2015-05-08;2015-05-29;2015-06-15;2015-07-03;2015-08-01;2015-08-17,2015-05-26;2015-06-15;2015-07-03;2015-07-30;2015-08-17,2015-08-19
5330295937,5,2014-05-23;2014-06-09;2014-06-20;2014-07-14;2014-08-05,2014-06-08;2014-06-20;2014-07-05;2014-08-04,2015-08-19
7629417453,1,2015-06-02,,2015-08-19
5594363895,1,2015-07-20,,2015-08-19
5935455253,2,2015-02-28;2015-03-14,2015-03-14,2015-08-19
5254531566,8,2015-03-17;2015-04-07;2015-04-22;2015-05-11;2015-05-30;2015-06-16;2015-07-14;2015-08-06,2015-04-07;2015-04-22;2015-05-11;2015-05-29;2015-06-16;2015-07-14;2015-08-06,2015-08-19
8230219163,5,2015-05-29;2015-06-08;2015-07-01;2015-07-22;2015-08-09,2015-06-08;2015-06-30;2015-07-22;2015-08-08,2015-08-19
3152634654,2,2015-07-17;2015-08-07,2015-08-07,2015-08-19
7598871262,3,2015-04-09;2015-06-26;2015-07-22,2015-04-27;2015-07-20,2015-08-19
5781556178,3,2015-07-28;2015-08-12;2015-08-14,2015-08-12;2015-08-14,2015-08-19
8834809018,1,2015-04-14,,2015-08-19
7442299181,3,2015-03-25;2015-04-10;2015-04-28,2015-04-08;2015-04-28,2015-08-19
7076340710,2,2015-03-31;2015-06-16,2015-06-10,2015-08-19
5843534196,5,2015-05-30;2015-06-03;2015-06-08;2015-06-29;2015-07-15,2015-06-03;2015-06-08;2015-06-26;2015-07-15,2015-08-19
5563120467,1,2014-06-09,,2015-08-19
3225694348,1,2014-08-18,2014-09-10,2015-08-19
1389690912,5,2015-04-12;2015-05-12;2015-06-07;2015-07-05;2015-07-06,2015-05-04;2015-06-03;2015-07-04;2015-07-06,2015-08-19
9148351638,1,2015-04-25,,2015-08-19
1784191842,5,2015-03-29;2015-05-05;2015-06-06;2015-07-01;2015-08-05,2015-05-05;2015-06-05;2015-07-01;2015-08-05,2015-08-19
4239791639,2,2014-05-07;2014-05-27,2014-05-27;2014-06-17,2015-08-19
8634554863,5,2015-04-15;2015-04-28;2015-05-03;2015-05-19;2015-06-28,2015-04-21;2015-05-02;2015-05-07;2015-06-12;2015-07-20,2015-08-19
7228483529,6,2015-05-30;2015-06-05;2015-06-19;2015-07-03;2015-07-18;2015-08-11,2015-06-05;2015-06-19;2015-07-03;2015-07-18;2015-08-05,2015-08-19
1660359942,2,2015-06-23;2015-07-05,2015-07-05,2015-08-19
4850039402,4,2015-03-29;2015-04-03;2015-04-13;2015-04-27,2015-04-03;2015-04-13;2015-04-27,2015-08-19
3418297468,1,2015-07-05,,2015-08-19
2174427212,5,2015-06-21;2015-06-29;2015-07-06;2015-07-13;2015-08-03,2015-06-29;2015-07-05;2015-07-13;2015-08-03,2015-08-19
2562664921,3,2015-04-22;2015-04-26;2015-05-03,2015-04-26;2015-05-03,2015-08-19
7064844459,3,2015-06-23;2015-07-31;2015-08-15,2015-07-17;2015-08-14,2015-08-19
1112017768,1,2015-05-28,,2015-08-19
3079511469,1,2015-04-26,,2015-08-19
5781022158,1,2014-12-20,,2015-08-19
1853627736,3,2015-05-27;2015-06-17;2015-07-03,2015-06-17;2015-07-03,2015-08-19
8401108350,1,2015-07-22,,2015-08-19
7035285544,7,2015-06-02;2015-06-14;2015-06-17;2015-07-03;2015-07-17;2015-07-31;2015-08-10,2015-06-12;2015-06-17;2015-07-02;2015-07-17;2015-07-31;2015-08-10,2015-08-19
2893571939,5,2015-06-05;2015-06-15;2015-06-29;2015-07-22;2015-08-15,2015-06-15;2015-06-29;2015-07-19;2015-08-14,2015-08-19
7371265289,2,2015-04-09;2015-04-16,2015-04-16,2015-08-19
1775406254,1,2014-09-22,,2015-08-19
4509848841,7,2015-03-11;2015-03-27;2015-04-08;2015-04-30;2015-05-20;2015-06-12;2015-07-17,2015-03-27;2015-04-05;2015-04-29;2015-05-20;2015-06-12;2015-07-17,2015-08-19
9013261149,5,2015-05-29;2015-06-05;2015-06-11;2015-06-19;2015-07-15,2015-06-05;2015-06-10;2015-06-19;2015-07-15,2015-08-19
9500422035,3,2015-06-19;2015-07-21;2015-08-10,2015-07-12;2015-08-10,2015-08-19
8710405577,1,2015-06-16,,2015-08-19
3988203332,11,2015-06-09;2015-06-22;2015-06-30;2015-07-05;2015-07-12;2015-07-17;2015-07-24;2015-07-30;2015-08-05;2015-08-11;2015-08-19,2015-06-15;2015-06-29;2015-07-04;2015-07-12;2015-07-14;2015-07-22;2015-07-28;2015-08-03;2015-08-10;2015-08-19,2015-08-19
8387614970,4,2015-05-21;2015-06-17;2015-07-17;2015-08-07,2015-06-09;2015-07-15;2015-08-07,2015-08-19
6526183719,1,2014-07-17,,2015-08-19
5331332312,6,2015-02-11;2015-03-11;2015-04-10;2015-05-05;2015-06-04;2015-06-27,2015-03-04;2015-04-01;2015-05-01;2015-05-25;2015-06-25;2015-07-24,2015-08-19
8540590529,7,2014-10-16;2014-11-17;2014-12-07;2015-03-10;2015-04-13;2015-06-12;2015-06-30,2014-11-15;2014-12-05;2015-01-10;2015-04-03;2015-05-25;2015-06-30,2015-08-19
3540597152,1,2015-07-10,,2015-08-19
6620932848,1,2014-09-21,,2015-08-19
1795159548,1,2015-07-17,,2015-08-19
6872355869,7,2015-04-25;2015-04-26;2015-04-28;2015-05-05;2015-05-14;2015-05-26;2015-08-04,2015-04-26;2015-04-28;2015-05-04;2015-05-12;2015-05-24;2015-06-19,2015-08-19
4756053552,2,2015-07-24;2015-08-14,2015-08-14,2015-08-19
2372935146,6,2015-04-03;2015-04-11;2015-04-25;2015-05-10;2015-05-22;2015-06-13,2015-04-11;2015-04-25;2015-05-10;2015-05-22;2015-06-12,2015-08-19
2287514871,1,2014-05-03,2014-05-24,2015-08-19
2358807840,1,2014-06-17,,2015-08-19
7318322753,1,2015-03-27,,2015-08-19
6562772473,1,2015-05-19,,2015-08-19
8017301815,3,2015-07-18;2015-08-09;2015-08-13,2015-08-09;2015-08-13,2015-08-19
6540024121,6,2015-06-13;2015-06-22;2015-06-25;2015-07-10;2015-07-24;2015-08-05,2015-06-21;2015-06-24;2015-07-10;2015-07-23;2015-07-29,2015-08-19
1463175554,4,2015-03-19;2015-04-10;2015-05-05;2015-05-25,2015-04-10;2015-04-30;2015-05-25;2015-06-17,2015-08-19
9443631847,5,2015-04-02;2015-04-09;2015-04-14;2015-04-21;2015-05-09,2015-04-09;2015-04-14;2015-04-21;2015-04-28,2015-08-19
8392403933,23,2014-10-02;2014-10-16;2014-11-04;2014-11-19;2014-12-07;2014-12-24;2015-01-07;2015-01-21;2015-01-30;2015-02-07;2015-02-16;2015-02-23;2015-03-02;2015-03-09;2015-03-17;2015-03-27;2015-04-10;2015-04-25;2015-05-09;2015-05-26;2015-06-15;2015-07-09;2015-07-31,2014-10-16;2014-11-04;2014-11-18;2014-12-07;2014-12-24;2015-01-07;2015-01-21;2015-01-30;2015-02-07;2015-02-16;2015-02-23;2015-03-02;2015-03-09;2015-03-17;2015-03-27;2015-04-10;2015-04-25;2015-05-09;2015-05-26;2015-06-15;2015-07-09;2015-07-31,2015-08-19
3686319819,3,2015-07-08;2015-07-13;2015-08-08,2015-07-13;2015-08-03,2015-08-19
3818103704,5,2015-03-30;2015-04-14;2015-06-02;2015-07-09;2015-08-14,2015-04-05;2015-04-27;2015-06-23;2015-07-28,2015-08-19
5804388965,3,2015-03-29;2015-04-15;2015-04-30,2015-04-15;2015-04-29,2015-08-19
5815782196,1,2014-12-11,,2015-08-19
1288086652,4,2015-07-08;2015-07-15;2015-07-21;2015-08-07,2015-07-14;2015-07-16;2015-07-27;2015-08-12,2015-08-19
5048210603,1,2015-02-28,,2015-08-19
4792563816,2,2015-05-29;2015-06-09,2015-06-09,2015-08-19
6374813065,6,2015-07-02;2015-07-14;2015-07-22;2015-07-30;2015-08-06;2015-08-17,2015-07-14;2015-07-21;2015-07-28;2015-08-06;2015-08-17,2015-08-19
